,0,1,2
0,Toy Story ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",(1995)
1,Jumanji ,"['Adventure', 'Children', 'Fantasy']",(1995)
2,Grumpier Old Men ,"['Comedy', 'Romance']",(1995)
3,Waiting to Exhale ,"['Comedy', 'Drama', 'Romance']",(1995)
4,Father of the Bride Part II ,['Comedy'],(1995)
5,Heat ,"['Action', 'Crime', 'Thriller']",(1995)
6,Sabrina ,"['Comedy', 'Romance']",(1995)
7,Tom and Huck ,"['Adventure', 'Children']",(1995)
8,Sudden Death ,['Action'],(1995)
9,GoldenEye ,"['Action', 'Adventure', 'Thriller']",(1995)
10,"American President, The ","['Comedy', 'Drama', 'Romance']",(1995)
11,Dracula: Dead and Loving It ,"['Comedy', 'Horror']",(1995)
12,Balto ,"['Adventure', 'Animation', 'Children']",(1995)
13,Nixon ,['Drama'],(1995)
14,Cutthroat Island ,"['Action', 'Adventure', 'Romance']",(1995)
15,Casino ,"['Crime', 'Drama']",(1995)
16,Sense and Sensibility ,"['Drama', 'Romance']",(1995)
17,Four Rooms ,['Comedy'],(1995)
18,Ace Ventura: When Nature Calls ,['Comedy'],(1995)
19,Money Train ,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",(1995)
20,Get Shorty ,"['Comedy', 'Crime', 'Thriller']",(1995)
21,Copycat ,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",(1995)
22,Assassins ,"['Action', 'Crime', 'Thriller']",(1995)
23,Powder ,"['Drama', 'Sci-Fi']",(1995)
24,Leaving Las Vegas ,"['Drama', 'Romance']",(1995)
25,Othello ,['Drama'],(1995)
26,Now and Then ,"['Children', 'Drama']",(1995)
27,Persuasion ,"['Drama', 'Romance']",(1995)
28,"City of Lost Children, The ","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",(1995)
29,Shanghai Triad ,"['Crime', 'Drama']",(1995)
30,Dangerous Minds ,['Drama'],(1995)
31,Twelve Monkeys ,"['Mystery', 'Sci-Fi', 'Thriller']",(1995)
32,Babe ,"['Children', 'Drama']",(1995)
33,Dead Man Walking ,"['Crime', 'Drama']",(1995)
34,It Takes Two ,"['Children', 'Comedy']",(1995)
35,Clueless ,"['Comedy', 'Romance']",(1995)
36,"Cry, the Beloved Country ",['Drama'],(1995)
37,Richard III ,"['Drama', 'War']",(1995)
38,Dead Presidents ,"['Action', 'Crime', 'Drama']",(1995)
39,Restoration ,['Drama'],(1995)
40,Mortal Kombat ,"['Action', 'Adventure', 'Fantasy']",(1995)
